Citation,year.published,DOI,Reviewed.by,Date.read,Type.of.proportion.data,Field.Discipline,Tidy.Discipline,analysis.used,method,notes
"Eagles-Smith, C.A., Suchanek, T., Colwell, A.E., and Anderson, N.L. 2008. Mercury trophic transfer in a eutrophic lake: the importance of habitat-specific foraging. Ecological Applications 18(8): A196-A212.",2008,,Emilie,03-Jun-21,inherently proportional,aquatic ecology,Ecosystem,arcsine square root transformation,angular transformation,
"James, D.A., Mosel, K., and Chipps, S.R. 2014. The influence of light, stream gradient, and iron on Didymosphenia geminata bloom development in the Black Hills, South Dakota. Hydrobiologia 721: 117-127. DOI: 10.1007/s10750-013-1654-y",2014,10.1007/s10750-013-1654-y,Emilie,03-Jun-21,inherently proportional,aquatic ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Prieto-Torres, D.A., Navarro-Siguenza, A.G., Santiago-Alarcon, D., and Rojas-Soto, O.R. 2016. Response of the endangered tropical dry forests to climate change and role of Mexican Protected Areas for their conservation. Global Change Biology 22:364-379. DOI: 10.1111/gcb.13090",2016,10.1111/gcb.13090,Emilie,14-Jul-21,inherently proportional,"forest ecology, climate change",Ecosystem,generalized linear models (GLMs) for proportion data along with a two-parameter logistic function that is the equivalent of an analysis of covariance with binomial errors,logistic regression,
"McPeek, K.C., McDonald, P.S., and Vanblaricom, G.R. 2015. Aquaculture disturbance impacts the diet but not ecological linkages of a ubiquitous predatory fish. Estuaries and Coasts 38: 1520-1534. DOI: 10.1007/s12237-014-9909-z",2015,10.1007/s12237-014-9909-z,Emilie,03-Jun-21,inherently proportional,marine ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Harvey, B.J., Donato, D.C., and Turner, M.G. 2016. Drivers and trends in landscape patterns of stand-replacing fire in forests of the US Northern Rocky Mountains (1984-2010). Landscape Ecol. 31: 2367-2383. DOI: 10.1007/s10980-016-0408-4",2016,10.1007/s10980-016-0408-4,Emilie,03-Jun-21,inherently proportional,landscape ecology,Community,logit transformed,logit transformation,
"Dreyer, J., Townsend, P.A., Hook III., J.C., Hoekman, D., Vander Zanden, M.J., and Gratton, C. 2015. Quantifying aquatic insect deposition from lake to land. Ecology 96(2): 499-509.",2015,,Emilie,03-Jun-21,inherently proportional,aquatic ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Teste, F.P., Dixon, K.W., Lambers, H., Zhou, J., and Veneklaas, E.J. 2020. The potential for phosphorus benefits through root placement in the rhizosphere of phosphorous-mobilising neighbors. Oecologia 193: 843-855. DOI: 10.1007/s00442-020-04733-6",2020,10.1007/s00442-020-04733-6,Emilie,04-Jun-21,inherently proportional,physiological ecology,Community,generalised linear model,unspecified GLM,
"Wentzky, V.C., Tittel, J., Jager, C.G., Bruggeman, J., and Rinke, K. 2020. Seasonal succession of functional traits in phytoplankton communities and their interaction with trophic state. Journal of Ecology 108: 1649-1663. DOI: 10.1111/1365-2745-13395",2020,10.1111/1365-2745-13395,Emilie,04-Jun-21,inherently proportional,aquatic ecology,Community,beta-probability distribution with logit transformation,beta distribution,GAM
"Thomas, S.M., Griffiths, S.W., and Ormerod, S.J. 2016. Beyond cool: adapting upland streams for climate change using riparian woodlands. Global Change Biology 22: 310-324. DOI: 10.1111/gcb.13103",2016,10.1111/gcb.13103,David,29-Jul-21,inherently proportional,aquatic ecology,Ecosystem,GLM  %biomass/feeding group,angular transformation,arcsine square root transformation
"Visakorpi, K., Riutta, T., Martinez-Bauer, A.E., Salminen, J.-P., and Gripenberg, S. 2019. Insect community covaries with host plant chemistry but is not affected by prior herbivory 100(8): e02739.",2019,,Emilie,04-Jun-21,inherently proportional,Ecology; insects,Community,betabinomial error distribution,Bayesian modelling,beta binomial error distribution
"Fugere, V., Lostchuck, E., and Chapman, L.J. 2020. Litter decomposition in Afrotropical streams: effects of land use, home-field advantage, and terrestrial herbivory. Freshwater Science 39(3): 497-507. DOI: 10.1086/709807",2020,10.1086/709807,Emilie,04-Jun-21,inherently proportional,aquatic ecology,Ecosystem,transformation (Px[n-1]+0.5)/n; transformation removes 0s and 1s to use beta regression.,beta distribution,
"Zamin, T.J., Cote, S.D., Tremblay,J.-P., and Grogan, P. 2017. Experimental warming alters migratory caribou forage quality. Ecological Applications 27(7): 2061-2073.",2017,,Emilie,04-Jun-21,inherently proportional,ecology; caribou,Population,arcsine square root transformation,angular transformation,
"Kulmatiski, A., Sprouse, S.R.C., and Bear, K.H. 2017. Soil type more than precipitation determins fine-root abundance in savannas of Kruger National Park, South Africa. Plant Soil 417: 523-533. DOI: 10.1007/s11104-017-3277-y",2017,10.1007/s11104-017-3277-y,Emilie,06-Jun-21,inherently proportional,plant/soil ecology,Population,"GAMMs using a beta likelihood with five ""knotes"" and logit link.",beta distribution,GAM
"Althouse, M.A., Cohen, J.B., Karpanty, S.M., Spendelow, J.A., Davis, K.L., Parsons, K.C., and Luttazi, C.F. 2019. Evaluating response distances to develop buffer zones for staging terns. The Journal of Wildlife Management 83(2): 260-271. DOI: 10.1002/jwmg.21594",2019,10.1002/jwmg.21594,Emilie,06-Jun-21,inherently proportional,wildlife ecology; avian ecology,Community,"zero- and -one inflated beta mixture model that uses a binomial distiburiton to model discrete (0,1) responses and a beta distribution to model the continuous reponses (>0,<1)",beta distribution,
"Blanchong, J.A., Anderson, C.A., Clark, N.J., Klaver, R.W., Plummer, P.J., Cox, M., McAoo, C., and Wolff, P.L. 2018. Respiratory disease, bevavior, and survival of mountain goat kids. The Journal of Wildlife Management 82(6): 1243-1251. DOI: 10.1002/jwmg.21470",2018,10.1002/jwmg.21470,Emilie,07-Jun-21,inherently proportional,plant ecology,Organismal,arcsine square root transformation,angular transformation,
"Rohr, J.R., and Crumrine, P.W. 2005. Effects of an herbice and an insecticide on pond community structure and processes. Ecological Applications 1135-1147.",2005,,David,20-Jul-21,counts/known count,acquatic ecology,Ecosystem,angular transformation,angular transformation,
"Chung, C.-L., Longfellow, J.M., Walsh, E.K., Kerdich, Z., Van Esbroeck, G., Balint-Kurti-P., and Nelson, R.J. 2010. Resistance loci affecting distinct stages of fungal pathogensis: use of introgression lines for QTL mapping and characterization in the maize - Setosphaeria turcia pathosystem. BMC Plant Biology 10: 103.",2010,,Emilie,07-Jun-21,inherently proprtional,plant biology,Organismal,arcsine square root transformation,angular transformation,
"Ding, N., Guo, H., Kupper, J.V., and McNear Jr., D.H. 2016. Shoot specific fungal endophytes alter soil phosphorus (P) fractions and potential acid phosphates activity but do not increase P uptake in tall fescue. Plant Soil 401: 291-305. DOI: 10.1007/s11104-015-2757-1",2016,10.1007/s11104-015-2757-1,Emilie,07-Jun-21,inherently proprtional,microbial ecology,Community,beta distribution with logit link,beta distribution,
"Flaners, J.R., Long, G., Reese, B., Grosso, N.R., Clements, W., and Stahl Jr., R.G. 2019. Assessment of potential mercury toxicity to native invertebrates in a high-gradient stream. Integrated Environemntal Assessment and Management 15(3): 374-384. DOI: 10.1002/ieam.4133",2019,10.1002/ieam.4133,Emilie,07-Jun-21,inherently proprtional,aquatic ecology,Community,arcsine square root transformation,angular transformation,
"Robertson, M.D., Hernandez, M.F., Midway, S.R., Hasler, C.T., and Suski, C.D. 2018. Shelter-seeking behavior of crayfish, Procambarus clarkii, in elevated carbon dioxide. Aquat. Ecol. 52: 225-233. DOI: 10.1007/s10452-018-9657-4",2018,10.1007/s10452-018-9657-4,Emilie,07-Jun-21,inherently proprtional,aquatic ecology,Organismal,beta regression,beta distribution,
"Flynn RL, Forrester GE. 2019. Boat anchoring contributes substantially to coral reef degradation in the British  Virgin Islands. PeerJ 7:e7010 http://doi.org/10.7717/peerj.7010",2019,10.7717/peerj.7010,Emilie,07-Jun-21,inherently proprtional,marine ecology,Ecosystem,MLE with a beta distribution,beta distribution,
"Huusko, K., Tarvainen, O., Saravesi, K., Pennanen, T., Fritze, H., Kubin, E., and Markkola, A. 2015. Short-term impacts of energy wood harvesting on ectomycorrhizal fungal communities of Norway spruce saplings. The ISME Journal 9: 581-591.",2015,,Emilie,14-Jul-21,inherently proprtional,forest ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Heimes, C., Thiele, J., van Molken, T., and Hauser, T.P. 2015. Interactive impacts of a herbivore and a pathogen on two resistance types of Barbarea vulgaris (Brassicaceae). Oecologia 177: 441-452. DOI: 10.1007/s00442-014-3113-5",2015,10.1007/s00442-014-3113-5,Emilie,07-Jun-21,inherently proprtional,plant ecology,Community,binomial GLMM and logit link,binomial GLM,
"Barnard, A.A., and Masly, J.P. 2018. Divergence in female damselfly sensory structures is consistent with a species recognition function but shows no evidence of reproductive character displacement. Ecology and Evolution 8:12101-12114. DOI: 10.1002/ece3.4669",2018,10.1002/ece3.4669,Emilie,14-Jul-21,inherently proprtional,evolutionary ecology,Population,arcsine square root transformation,angular transformation,
"Pehle, A., and Schirmel, J. 2015. Moss invasion in a dune ecosystem influences ground-dwelling arthropod community structure and reduces soil biological activity. Biol Invasions 17: 3467-3477. DOI: 10.1007/s10530-015-0971-7",2015,10.1007/s10530-015-0971-7,Emilie,28-Jun-21,inherently proprtional,plant ecology,Ecosystem,general linear model with a binomial error structure,binomial GLM,
"Stanton-Geddes, J., Yoder, J.B., Briskine, R., Young, N.D., and Tiffin, P. 2013. Estimating hertiability using genomic data. Methods in Ecology and Evolution 4: 1151-1158. DOI: 10.1111/2041-210X.12129",2013,10.1111/2041-210X.12129,Emilie,14-Jul-21,inherently proprtional,genetics,Community,GLMMwith logit link and multiplicative overdispersion,binomial GLM,
"Tarvainen, O., and Tolvanen, A. 2016. Healing the wounds in the landscape - reclaiming gravel roads in conservation areas. Environ. Sci. Pollut. Res. 23: 13723-13744. DOI: 10.1007/s11356-015-5341-6",2016,10.1007/s11356-015-5341-6,Emilie,28-Jun-21,inherently proprtional,boreal ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Stynoski, J.L., and Roble, V.R. 2012. To beg or to freeze: multimodal sensory integration directs behavior in a tadpole. Behav. Ecol. Sociobiol. 66: 191-199. DOI: 10.1007/s00265-011-1266-3",2012,10.1007/s00265-011-1266-3,Emilie,28-Jun-21,inherently proprtional,behavioural ecology,Organismal,arcsine square root transformation,angular transformation,
"Fiorini, R., Pagliarani, A., Nesci, S., Pirini, M., Tucci, E., and Ventrella, V. 2012. Structural and funtional changes in gill mitochondrial membranes from the Mediterranean mussel Mytilus galloprovincialis exposed to Tri-N-Butyltin. Environmental Toxicology and Chemistry 31(4): 877-884. DOI: 10.1002/etc.1764",2012,10.1002/etc.1764,Emilie,28-Jun-21,inherently proprtional,environmental toxicology,Organismal,arcsine square root transformation,angular transformation,
"Christiansen, D.G., and Reyer, H.-U. 2011. Effects of geographic distance, sea barriers, and habitat on the genetic structure and diversity of all-hybrid water frog populations. Heredity 106: 25-36.",2011,,David,20-Jul-21,proportional by estimation error,genetics,Ecosystem,"MannWhitney, Spearman, or Logistc Regr",logistic regression,
"Wilkin, K.M., Ponisio, L.C., Fry, D.L., Tubbesing, C.L., Potts, J.B., and Stephens, S.L. 2017. Decade-long plant community responses to shrubland fuel hazard reduction. Fire Ecology 13(2): 105-136. DOI: 10.4996/fireecology.130210513",2017,10.4996/fireecology.130210513,Emilie,28-Jun-21,inherently proprtional,fire/forest ecology,Ecosystem,binomial error distribution,binomial GLM,
"Smith, G.R., Boyd, A., Dayer, C.B., Winter, K.E. 2008. Behavioral responses of American toad and bullfrog tadpoles to the presence of cues from the invasive fish, Gambusia affinis. Biol Invasions 10:743-748. DOI: 10.1007/s10530-007-9166-1",2008,10.1007/s10530-007-9166-1,Emilie,28-Jun-21,inherently proprtional,behavioural ecology,Community,arcsine square root transformation,angular transformation,
"Takahashi, K., and Furuhata, K. 2016. Shoot growth and seasonal changes of nonstructural carbohydrate concentrations at the upper and lower distribution limits of three conifers. Landscape Ecol. Eng. 12: 239-245. DOI: 10.1007/s11355-016-0294-6",2016,10.1007/s11355-016-0294-6,Emilie,28-Jun-21,inherently proprtional,landscape ecology,Population,arcsine square root transformation,angular transformation,
"Melin, A.D., Fedigan, L.M., Hiramatsu, C., and Kawamura, S. 2008. Polymorphic color vision in white-faced capuchins (Cebus capucinus): Is there foraging nice divergence among phenotypes? Behav. Ecol. Sociobiol. 62: 659-670. DOI: 10.1007/s00265-007-0490-3",2008,10.1007/s00265-007-0490-3,Emilie,28-Jun-21,inherently proprtional,behavioural ecology,Organismal,arcsine square root transformation,angular transformation,
"Dahms, H., Lenoir, L., Lindborg, R., Wolters, V., and Dauber, J. 2010. Restoration of seminatural grasslands: what is the impact on ants? Restoration Ecology 18(3): 330-337. DOI: 10.1111/j.1526-100X.2008.00458.x",2010,10.1111/j.1526-100X.2008.00458.x,Emilie,03-Jul-21,inherently proprtional,restoration ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Sims-Chilton, N.M., Salucki, M.P., and Buckley, Y.M. 2010. Long term climate effects are confounded with the biological control programme against the invasive weed Baccharis halimifolia in Australia. Biol Invasions 12:3145-3155. DOI: 10.1007/s10530-010-9705-z",2010,10.1007/s10530-010-9705-z,Emilie,03-Jul-21,inherently proprtional,biology/cecology,Ecosystem,ln(p+1) transformation,other transformation,
"Bastida, F., Gonzalez-Andujar, J.L., Monteagudo, F.J., and Menendez, F. 2010. Aerial seed bank dynamics and seedling emergence patterns in two annual Mediterranean Asteraceae. Journal of Vegetation Science 21(3): 541-550. DOI: 10.1111/j.1654-1103.2010.01169.x",2010,10.1111/j.1654-1103.2010.01169.x,Emilie,03-Jul-21,inherently proprtional,plant ecology,Population,arcsine square root transformation,angular transformation,
"Ferreira de Lima, R.A., and Cunha de Moura, L. 2008. Gap disturbance regime and composition in the Atlantic Montane Rain Forest: the influence of topography. Plant Ecol. 197: 239-253. DOI: 10.1007/s11258-007-9734-x",2008,10.1007/s11258-007-9734-x,Emilie,03-Jul-21,inherently proprtional,plant ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Mudryzynski, B.M., and Norment, C.J. 2013. Influence of habitat structure and fruit availability on use of a northeastern stopever site by fall songbirds. The Wilson Journal of Ornithology 125(4): 744-754. DOI: 10.1676/13-060.1",2013,10.1676/13-060.1,Emilie,03-Jul-21,inherently proprtional,avian ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Pedersen, S., Mathisen, K.M., Gorini, L., Andreassen, H.P., Roskaft, E., and Skarpe, C. 2014. Small mammal responses to moose supplementary winter feeding. Eur. J. Wildl. Res. 60: 527-534. DOI: 10.1007/s10344-014-0816-1",2014,10.1007/s10344-014-0816-1,Emilie,03-Jul-21,inherently proprtional,biology/ecology,Community,arcsine square root transformation,angular transformation,
"Fuselier, L.C., Donarski, D., Novacek, J., Rastedt, D., and Peyton, C. 2012. Composition and biomass productivity of bryophyte assemblages in natural and restored marshes in the prairie pothole region of northern Minnesota. Wetlands 32: 1067-1078. DOI: 10.1007/s13157-012-0337-1",2012,10.1007/s13157-012-0337-1,Emilie,03-Jul-21,inherently proprtional,aquatic ecology,Community,arcsine square root transformation,angular transformation,
"Hornung, J.P. and Foote, A.L. 2006. Aquatic invertebrate responses to fish presence and vegetation complexity in western boreal wetlands, with implications for waterbird productivity. Wetlands 26(1): 1-12. DOI:",2006,10.1672/0277-5212(2006)26[1:AIRTFP]2.0.CO;2,Emilie,05-Jul-21,inherently proprtional,aquatic ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Takahashi, K., and Miyajima, Y. 2010. Effects of roads on alpine and subalpine plant species distribution along an altitudinal gradient on Mount Norikura, central Japan. J. Plant Res. 123:741-749. DOI: 10.1007/s10265-010-0318-5",2010,10.1007/s10265-010-0318-5,Emilie,05-Jul-21,inherently proprtional,plant ecology,Population,arcsine square root transformation,angular transformation,
"Pegg, G.S., Carnegie, A.J., Wingfield, M.J., and Drenth, A. 2011. Variable resistance to Quambalaria pitereka in spottted gum reveal opportunities for disease screening. Australasian Plant Pathol. 40: 76-86. DOI: 10.1007/s13313-010-0116-8",2011,10.1007/s13313-010-0116-8,Emilie,05-Jul-21,inherently proprtional,plant ecology/pathology,Organismal,arcsine square root transformation,angular transformation,
"Chew, S.J., and Bonser, S.P. 2009. The evolution of growth rate, resource allocation and competitive ability in seeder and resprouter tree seedlings. Evol. Ecol. 23: 723-735. DOI: 10.1007/s10682-008-9268-y",2009,10.1007/s10682-008-9268-y,Emilie,05-Jul-21,inherently proprtional,plant ecology,Population,arcsine square root transformation,angular transformation,
"Fielder, A.K., and Landis, D.A. 2012. Biotic and abiotic conditions in Michigan prairie fen invaded by glossy buckthorn (Frangula alnus). Natural Areas Journal 32(1): 41-53. DOI: 10.3375/043.032.0106",2012,10.3375/043.032.0106,Emilie,05-Jul-21,inherently proprtional,plant ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Horn, P.L., Burrell, T., Connell, A., and Dunn, M.R. 2011. A comparison of the diets of silver (Seriolella punctata) and white (Seriolella caerulea) warehou. Marine Biology Research 7(6): 576-591. DOI: 10.1080/17451000.2010.528776",2011,10.1080/17451000.2010.528776,Emilie,05-Jul-21,inherently proprtional,marine ecology,Population,arcsine square root transformation,angular transformation,
"Pegg, G.S., Shuey, L.S., Carnegie, A.J., Wingfield, M.J., and Drenth, A. 2011. Potential gains through selecting for resistance in spotted gum to Quambalaria pitereka. Australasian Plant Pathol. 40: 197-206. DOI: 10.1007/s13313-011-0030-5",2011,10.1007/s13313-011-0030-5,Emilie,05-Jul-21,inherently proprtional,plant ecology/pathology,Organismal,arcsine square root transformation,angular transformation,
"Hornung, J.P., and Foote, A.L. 2008. Comparing dietary preferences of Bufflehead ducklings in Western Canada through gut content and stable isotope analysis. Aquatic Ecology 42:61-70. DOI: 10.1007/s10452-0007-9079-1",2008,10.1007/s10452-0007-9079-1,Emilie,05-Jul-21,inherently proprtional,aquatic ecology,Population,arcsine square root transformation,angular transformation,
"Kang, P.-G., and Mitchel, M.J. 2013. Bioavailability and size-fraction of dissolved organic carbon, nitrogen, and sulfur at the Arbutus Lake watershed, Adirondack Mountains, NY. Biogeochemistry 115: 213-234. DOI: 10.1007/s10533-013-9829-1",2013,10.1007/s10533-013-9829-1,Emilie,05-Jul-21,inherently proprtional,biogeochemistry,Ecosystem,one-way analysis of variance with Dunnett's comparisons,normal distribution,
"Rouphael, Y., De Micco, V., Arena, C., Raimondi, G., Colla, G., and De Pascale, S. 2017. Effect of Ecklonia maxima seaweed extract on yield, mineral composition, gas exchange, and leaf anatomy of zucchini squash grown under saline conditions. J. Appl. Phycol. 29: 459-470. DOI: 10.1007/s10811-016-0937-x",2017,10.1007/s10811-016-0937-x,Emilie,05-Jul-21,inherently proprtional,phycology,Community,arcsine square root transformation,angular transformation,
"Jorgenson, J.C., Raynolds, M.K., Reynolds, J.H., and Benson, A.-M. 2015. Twenty-five year record of changes in plan cover on tundra of northeastern Alaska. Arctic, Antarctic, and Alpine Research 47(4): 785-806. DOI: 10.1657/AAAR0014-097",2015,10.1657/AAAR0014-097,Emilie,05-Jul-21,inherently proprtional,plant ecology/rangeland ecology,Population,arcsine square root transformation,angular transformation,
"Greenberg, C.H., Moorman, C.E., Matthews-Snoberger, C.E., Waldrop, T.A., Simon, D., Heh, A., and Hagan, D. 2018. Long-term herpetofaunal response to repeated fuel reduction treatments. The Journal of Wildlife Management 82(3): 553-565. DOI: 10.1002/jwmg.21402",2018,10.1002/jwmg.21402,Emilie,05-Jul-21,inherently proprtional,wildlife biology,Community,arcsine square root transformation,angular transformation,
"Epstein, H.E., and Kingsford, M.J. 2019. Are soft coral habitats unfavourable? A closer look at the association between reef fishes and their habitat. Environ Biol. Fish 102: 479-497. DOI: 10.1007/s10641-019-0845-4",2019,10.1007/s10641-019-0845-4,Emilie,05-Jul-21,inherently proprtional,marine ecology,Ecosystem,one-way analysis of variance - transformation mentioned but not verified,other transformation,
"Greiner, H.G., Kashian, D.R., and Tiegs, S.D. 2012. Impacts of invasive Asian (Amynthas hilgendorfi) and European (Lumbricus rubellus) earthworms in a North American temperate deciduous forest. Biol. Invasions 14: 2017-2027. DOI: 10.1007/s10530-012-0208-y",2012,10.1007/s10530-012-0208-y,Emilie,05-Jul-21,inherently proprtional,wildlife biology,Ecosystem,arcsine square root transformation,angular transformation,
"Raudenbush, Z., Greenwood, J.L., McLetchie, D.N., Eppley, S.M., Keeley, S.J., Castetter, R.C., and Stark, L.R. 2018. Divergence in life-history and developmental traits in silvery-thread moss (Bryum argenteum Hedw.) genotypes between golf course putting greens and native habitats. Weed Science 66: 642-650. DOI: 10.1017/wsc.2018.37",2018,10.1017/wsc.2018.37,Emilie,05-Jul-21,inherently proprtional,weed ecology,Organismal,arcsine square root transformation,angular transformation,
"Castrillon, J., Huston, W., and Nash, S.B. 2017. The bubbler adipocyte index: a nondestructive biomarker of adiposity in humpback whales (Megaptera novaeangliae). Ecology and Evolution 7: 5131-5139. DOI: 10.1002/ece3.2913",2017,10.1002/ece3.2913,Emilie,09-Jul-21,inherently proprtional,marine ecology,Organismal,independent sample student t test,normal distribution,
"Elsey-Quirk, T., Seliskar, D.M., Sommerfield, C.K., and Gallagher, J.L. 2011. Salt marsh carbon pool distribution in a mid-Atlantic lagoon, USA: sea level rise implications. Wetlands 31: 87-99. DOI: 10.1007/s13157-010-0139-2",2011,10.1007/s13157-010-0139-2,Emilie,09-Jul-21,inherently proprtional,aquatic ecology,Ecosystem,arcsine square root transformation,angular transformation,
